filename,composer,type,tracks,ticks_per_beat,first_key_sig,predicted_key_sig,first_time_n,first_time_d,first_time_32nd,time_clocks_per_click,first_note,first_note_time,has_note_off,has_key_change,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
midi/classical/Aguado/Aguado_Andante4.mid,Aguado,1,2,256,C,A,3,4,8,24,A,0,True,False,8.0,34.0,26.0,12.0,38.0,6.0,22.0,4.0,28.0,52.0,4.0,36.0
midi/classical/Ponce/Ponce_Sonata_clasica_Allegro.mid,Ponce,1,2,1024,Am,C,4,4,8,24,C,0,True,False,187.0,52.0,199.0,77.0,418.0,155.0,69.0,214.0,133.0,385.0,18.0,204.0
midi/classical/Aguado/Aguado_Andante_Dmajor.mid,Aguado,1,3,1024,D,D,1,4,8,24,F,0.6481475,True,True,4.0,29.0,61.0,8.0,53.0,8.0,58.0,46.0,19.0,97.0,2.0,24.0
midi/classical/Ponce/Ponce_Sonata_clasica_Allegro2.mid,Ponce,1,2,1024,A,A,2,4,8,24,E,0.652173,True,False,81.0,201.0,135.0,49.0,241.0,38.0,109.0,51.0,101.0,240.0,32.0,183.0
midi/classical/Aguado/Aguado_Andante_Op13.mid,Aguado,1,3,480,,G,3,4,44,10,G#,0,True,False,46.0,39.0,170.0,6.0,78.0,0.0,90.0,107.0,38.0,137.0,2.0,78.0
midi/classical/Ponce/Ponce_Sonata_clasica_Andante.mid,Ponce,1,2,1024,Am,C,3,4,8,24,C,0,True,False,100.0,12.0,72.0,32.0,66.0,59.0,20.0,123.0,36.0,42.0,13.0,38.0
midi/classical/Aguado/Aguado_Estudio_No16.mid,Aguado,1,3,1024,A,A,1,4,8,24,A,0,True,False,2.0,54.0,56.0,4.0,82.0,0.0,32.0,10.0,46.0,80.0,0.0,66.0
midi/classical/Aguado/Aguado_Estudio_No17.mid,Aguado,1,3,1024,G,G,2,4,8,24,G,1.071428,True,False,20.0,7.0,17.0,22.0,54.0,0.0,49.0,63.0,3.0,66.0,2.0,58.0
midi/classical/Ponce/Ponce_Sonata_clasica_Menuet_Trio.mid,Ponce,1,2,1024,Am,C,3,4,8,24,C,0,True,False,182.0,14.0,132.0,28.0,148.0,109.0,34.0,266.0,24.0,45.0,9.0,75.0
midi/classical/Aguado/Aguado_Etude_No15.mid,Aguado,1,2,240,,A,6,8,8,24,A,0,True,False,0.0,32.0,24.0,4.0,72.0,0.0,14.0,2.0,20.0,60.0,4.0,16.0
midi/classical/Ponce/Ponce_Sonata_No1_Allegretto.mid,Ponce,1,2,120,C,C,3,8,8,12,A,0,False,False,22.0,25.0,28.0,12.0,82.0,29.0,9.0,16.0,14.0,49.0,14.0,27.0
midi/classical/Aguado/Aguado_Etude_No18.mid,Aguado,1,2,240,,C,3,8,8,12,C,0,True,False,34.0,0.0,32.0,0.0,32.0,30.0,2.0,38.0,0.0,10.0,2.0,22.0
midi/classical/Ponce/Ponce_Sonata_No3_Allegro_moderato.mid,Ponce,1,3,192,F,C,4,4,8,24,D,0,False,False,92.0,93.0,154.0,70.0,117.0,109.0,109.0,97.0,82.0,171.0,88.0,118.0
midi/classical/Aguado/Aguado_Etude_No20.mid,Aguado,1,2,240,,G,4,4,8,24,B,0,True,False,76.0,8.0,38.0,0.0,16.0,4.0,16.0,194.0,2.0,62.0,4.0,162.0
midi/classical/Dvorak/GP_SLAV8.MID,Dvorak,1,20,480,Bb,C,3,4,8,24,G,0,True,True,483.0,0.0,1386.0,219.0,32.0,306.0,208.0,1080.0,0.0,748.0,855.0,373.0
midi/classical/Ponce/Ponce_Sonata_No3_Allegro_non_troppo.mid,Ponce,1,3,1024,D,D,1,4,8,24,A,0.58184921484375,True,True,18.0,32.0,156.0,3.0,66.0,17.0,74.0,69.0,0.0,94.0,21.0,44.0
midi/classical/Aguado/Aguado_Etude_No27.mid,Aguado,1,2,240,,E,3,8,8,12,G#,0,True,False,0.0,32.0,30.0,36.0,84.0,0.0,2.0,0.0,42.0,46.0,6.0,26.0
midi/classical/Ponce/Ponce_Sonata_No3_Song.mid,Ponce,1,4,192,F,F,6,8,8,24,D,0,False,False,35.0,23.0,94.0,0.0,58.0,59.0,8.0,47.0,3.0,111.0,42.0,17.0
midi/classical/Aguado/Aguado_Exercice_No4.mid,Aguado,1,3,480,,C,2,4,136,14,A,0,True,False,58.0,4.0,36.0,0.0,108.0,26.0,0.0,24.0,16.0,68.0,0.0,32.0
midi/classical/Ponce/Ponce_Sonata_Romantica_Allegretto_vivo.mid,Ponce,1,3,480,,G,2,4,246,7,B,0,True,False,64.0,29.0,35.0,78.0,152.0,15.0,68.0,121.0,19.0,80.0,17.0,202.0
midi/classical/Dvorak/Gypsy Songs Op.55 No.1 & 5.mid,Dvorak,1,4,120,F,C,4,4,8,24,F,0,False,False,221.0,106.0,289.0,11.0,459.0,227.0,65.0,154.0,61.0,468.0,99.0,243.0
midi/classical/Aguado/Aguado_Fandango_varie_Op16.mid,Aguado,1,4,480,,F,1,4,200,15,D,0,True,False,43.0,246.0,399.0,9.0,341.0,288.0,124.0,241.0,100.0,651.0,135.0,85.0
midi/classical/Ponce/Ponce_Sonata_Romantica_Allegro_moderato.mid,Ponce,1,4,480,,A,4,4,82,8,C#,0,True,False,112.0,195.0,192.0,144.0,338.0,96.0,182.0,109.0,168.0,187.0,88.0,233.0
midi/classical/Ponce/Ponce_Ballet.mid,Ponce,1,2,120,E,E,4,4,8,24,C#,0,False,True,14.0,51.0,2.0,30.0,35.0,2.0,32.0,3.0,34.0,24.0,3.0,15.0
midi/classical/Dvorak/hum5.mid,Dvorak,1,3,240,C,E,2,4,8,24,A,0,False,True,37.0,50.0,19.0,14.0,149.0,15.0,57.0,18.0,42.0,98.0,20.0,83.0
midi/classical/Aguado/Aguado_Leccion_No23.mid,Aguado,1,3,1024,A,A,1,4,8,24,E,0,True,False,0.0,30.0,14.0,4.0,60.0,0.0,2.0,0.0,12.0,50.0,4.0,16.0
midi/classical/Aguado/Aguado_Leccion_No27.mid,Aguado,1,3,1024,A,E,1,4,8,24,G#,0,True,False,8.0,26.0,9.0,14.0,44.0,6.0,6.0,4.0,26.0,42.0,4.0,23.0
midi/classical/Dvorak/Humoresque No.5 in A Minor Op.101.mid,Dvorak,1,3,240,C,E,2,4,8,24,A,0,False,True,37.0,50.0,19.0,14.0,149.0,15.0,57.0,18.0,42.0,98.0,20.0,83.0
midi/classical/Aguado/Aguado_Leccion_No28.mid,Aguado,1,3,1024,A,A,1,4,8,24,B,0,True,False,2.0,34.0,36.0,0.0,50.0,0.0,4.0,0.0,18.0,56.0,2.0,30.0
midi/classical/Dvorak/humorsk1.mid,Dvorak,1,3,120,Gb,F#,2,4,8,24,D#,0,False,False,18.0,64.0,13.0,363.0,0.0,120.0,238.0,48.0,129.0,8.0,203.0,85.0
midi/classical/Aguado/Aguado_Lesson_No1.mid,Aguado,1,3,1024,A,E,3,8,8,36,B,0,True,False,6.0,26.0,20.0,12.0,90.0,0.0,6.0,0.0,20.0,38.0,0.0,18.0
midi/classical/Aguado/Aguado_Lesson_No3.mid,Aguado,1,3,1024,G,G,3,8,8,36,B,0,True,False,34.0,0.0,44.0,0.0,30.0,0.0,16.0,48.0,4.0,36.0,0.0,40.0
midi/classical/Aguado/Aguado_Lesson_No4.mid,Aguado,1,3,1024,A,D,3,8,8,36,C#,1.071428,True,False,0.0,26.0,26.0,0.0,36.0,0.0,4.0,4.0,18.0,40.0,2.0,16.0
midi/classical/Aguado/Aguado_Lesson_No5.mid,Aguado,1,3,1024,Em,G,3,4,8,24,E,0,True,False,20.0,0.0,12.0,16.0,40.0,2.0,24.0,42.0,4.0,36.0,4.0,42.0
midi/classical/Aguado/Aguado_Lesson_No6.mid,Aguado,1,3,1024,A,A,3,4,8,24,A,0,True,False,8.0,42.0,34.0,14.0,46.0,8.0,22.0,6.0,30.0,58.0,4.0,44.0
midi/classical/Ponce/Ponce_Gallega.mid,Ponce,1,2,120,D,D,6,8,8,12,F#,0.9,False,False,7.0,39.0,101.0,3.0,46.0,2.0,57.0,41.0,1.0,92.0,3.0,45.0
midi/classical/Aguado/Aguado_Lesson_No7.mid,Aguado,1,3,1024,E,E,2,4,8,24,E,0.95238,True,False,0.0,14.0,4.0,26.0,46.0,0.0,28.0,0.0,26.0,22.0,4.0,26.0
midi/classical/Ponce/Ponce_Sonata_Romantica_Andante_espressivo.mid,Ponce,1,4,480,,E,4,4,133,10,G#,0,True,False,9.0,99.0,29.0,57.0,91.0,9.0,122.0,19.0,84.0,51.0,19.0,125.0
midi/classical/Aguado/Aguado_Lesson_No8.mid,Aguado,1,3,1024,Em,D,3,8,8,36,G,0,True,True,8.0,3.0,12.0,11.0,31.0,0.0,12.0,22.0,4.0,25.0,2.0,42.0
midi/classical/Dvorak/Slavonic Dance No.10.mid,Dvorak,1,6,48,Em,C,3,4,8,24,E,0,False,False,296.0,107.0,98.0,104.0,639.0,135.0,193.0,427.0,95.0,326.0,82.0,470.0
midi/classical/Ponce/Ponce_Sonatina_Meridional_Campo.mid,Ponce,1,3,1024,D,D,1,8,8,12,D,0.208740234375,True,False,70.0,95.0,137.0,55.0,167.0,77.0,126.0,133.0,46.0,235.0,88.0,124.0
midi/classical/Aguado/Aguado_Menuet1_Op12.mid,Aguado,1,4,480,,C,3,4,184,8,A,0,True,False,60.0,6.0,60.0,5.0,93.0,32.0,0.0,27.0,23.0,68.0,4.0,39.0
midi/classical/Aguado/Aguado_Menuet2_Op.12.mid,Aguado,1,2,480,,D,3,4,44,10,F#,0,True,False,5.0,119.0,172.0,6.0,108.0,11.0,142.0,132.0,52.0,257.0,15.0,134.0
midi/classical/Ponce/Ponce_Sonatina_Meridional_Fiesta.mid,Ponce,1,3,1024,D,G,1,4,8,24,A,0.23323714843749999,True,False,61.0,52.0,134.0,25.0,112.0,47.0,59.0,117.0,17.0,148.0,28.0,130.0
midi/classical/Aguado/Aguado_Menuet3_Op12.mid,Aguado,1,4,480,,G,3,4,82,8,D,0,True,False,73.0,18.0,95.0,2.0,49.0,24.0,47.0,107.0,6.0,48.0,9.0,80.0
midi/classical/Dvorak/Slavonic dances No.5 in A Op46.mid,Dvorak,1,5,1024,A,E,2,4,8,24,A,0,False,True,11.0,89.0,28.0,58.0,82.0,8.0,184.0,17.0,31.0,59.0,43.0,100.0
midi/classical/Ponce/Ponce_Suite_D_1.Preambule.mid,Ponce,1,3,1024,D,D,1,4,8,24,D,0.566860125,True,False,33.0,111.0,172.0,12.0,166.0,44.0,103.0,111.0,51.0,178.0,27.0,122.0
midi/classical/Aguado/Aguado_Menuet4_Op.12.mid,Aguado,1,2,480,,D,3,4,44,10,G#,0,True,False,8.0,50.0,103.0,4.0,90.0,28.0,93.0,94.0,42.0,120.0,13.0,65.0
midi/classical/Ponce/Ponce_Suite_D_2.Courante.mid,Ponce,1,3,1024,D,A,1,4,8,24,D,0,True,False,0.0,76.0,130.0,0.0,102.0,8.0,92.0,36.0,52.0,156.0,8.0,86.0
midi/classical/Aguado/Aguado_Menuet5_Op12.mid,Aguado,1,2,480,,A,3,4,44,10,A,0,True,False,19.0,50.0,52.0,14.0,119.0,2.0,24.0,2.0,31.0,86.0,4.0,47.0
midi/classical/Ponce/Ponce_Suite_D_3.Sarabande.mid,Ponce,1,3,1024,D,D,1,8,8,12,A,0.3578402109375,True,False,11.0,71.0,80.0,17.0,94.0,2.0,74.0,46.0,20.0,85.0,11.0,95.0
midi/classical/Dvorak/Violin & Piano Sonatina.mid,Dvorak,1,4,240,C,G,4,4,8,24,G,0,True,False,217.0,70.0,522.0,139.0,426.0,140.0,256.0,558.0,82.0,239.0,178.0,461.0
midi/classical/Aguado/Aguado_Menuet6_Op12.mid,Aguado,1,2,480,,G,3,4,44,10,G,0,True,False,42.0,13.0,18.0,38.0,131.0,2.0,63.0,117.0,30.0,57.0,16.0,126.0
midi/classical/Ponce/Ponce_Suite_D_4.Gavotte.mid,Ponce,1,3,1024,D,D,1,4,8,24,F#,0,True,True,0.0,50.0,65.0,6.0,54.0,8.0,60.0,32.0,12.0,76.0,4.0,44.0
midi/classical/Dyens/Dyens_Lettre_Francaise.mid,Dyens,1,2,480,,D,2,4,244,16,E,0,True,False,8.0,14.0,62.0,9.0,85.0,2.0,35.0,61.0,23.0,91.0,13.0,56.0
midi/classical/Ponce/Ponce_Suite_D_5.Gigue.mid,Ponce,1,3,1024,D,A,1,8,8,12,D,0,True,False,2.0,112.0,126.0,6.0,127.0,5.0,137.0,55.0,75.0,174.0,10.0,117.0
midi/classical/Aguado/Aguado_Menuet_Affandangado_Op15.mid,Aguado,1,4,480,C,C,3,4,8,24,A,0,True,False,346.0,102.0,307.0,4.0,391.0,135.0,36.0,159.0,137.0,458.0,5.0,254.0
midi/classical/Dyens/Dyens_Adios_Muchachos.mid,Dyens,1,2,480,,A,4,8,82,8,E,0,True,False,8.0,61.0,62.0,14.0,128.0,23.0,52.0,2.0,50.0,118.0,4.0,54.0
midi/classical/Aguado/Aguado_Minueto_en_mi.mid,Aguado,1,2,256,E,E,3,8,8,36,B,1.2,True,False,23.0,40.0,18.0,66.0,108.0,3.0,84.0,42.0,53.0,84.0,13.0,127.0
midi/classical/Ponce/Ponce_Suite_en_la_mineur_Gigue.mid,Ponce,1,2,240,,C,6,8,8,24,A,0,True,False,135.0,18.0,108.0,43.0,258.0,82.0,42.0,77.0,48.0,274.0,13.0,143.0
midi/classical/Dyens/Dyens_Choclo .mid,Dyens,1,2,480,,F,2,4,136,14,G,0,True,False,97.0,85.0,193.0,12.0,153.0,106.0,86.0,125.0,42.0,297.0,117.0,72.0
midi/classical/Aguado/Aguado_Minuet_Emajor.mid,Aguado,1,3,1024,E,E,3,8,8,36,B,1.17647,True,True,0.0,24.0,0.0,32.0,48.0,2.0,32.0,0.0,34.0,34.0,6.0,54.0
midi/classical/Ponce/Ponce_Suite_la_Style_Weiss_1Preludio.mid,Ponce,1,2,480,,C,1,4,44,10,C,0,True,False,37.0,24.0,76.0,5.0,95.0,54.0,22.0,47.0,21.0,89.0,14.0,55.0
midi/classical/Aguado/Aguado_12valses_Op1_No2.mid,Aguado,1,2,256,,C,,,,,G,0,True,False,96.0,0.0,68.0,4.0,64.0,58.0,22.0,134.0,6.0,36.0,4.0,50.0
midi/classical/Ponce/Ponce_Suite_la_Style_Weiss_2Allemanda.mid,Ponce,1,2,480,,C,1,4,20,13,C,0.2142855,True,False,130.0,14.0,144.0,46.0,174.0,76.0,52.0,100.0,44.0,163.0,36.0,138.0
midi/classical/Aguado/Aguado_Contredanse_No3_Op13.mid,Aguado,1,3,480,,D,1,8,39,9,E,0,True,False,4.0,64.0,88.0,4.0,119.0,2.0,39.0,26.0,24.0,97.0,0.0,38.0
midi/classical/Dyens/Dyens_Lettre_Calme.mid,Dyens,1,2,480,,D,2,4,40,26,E,0,True,False,37.0,11.0,50.0,50.0,114.0,16.0,57.0,81.0,7.0,62.0,20.0,121.0
midi/classical/Ponce/Ponce_Suite_la_Style_Weiss_3Sarabanda.mid,Ponce,1,2,480,,A,3,4,21,14,E,0,True,False,4.0,90.0,54.0,34.0,114.0,8.0,82.0,6.0,70.0,116.0,12.0,108.0
midi/classical/Dyens/Dyens_Lettre_Claude_Maurice.mid,Dyens,1,2,480,,C#,2,4,227,22,G#,0,True,False,45.0,15.0,50.0,3.0,92.0,7.0,42.0,13.0,54.0,14.0,38.0,11.0
midi/classical/Aguado/Aguado_Lesson_No2.mid,Aguado,1,3,1024,Am,C,2,4,8,24,A,0,True,False,86.0,6.0,42.0,0.0,79.0,22.0,0.0,26.0,12.0,62.0,0.0,50.0
midi/classical/Ponce/Ponce_Suite_la_Style_Weiss_4Gavotta.mid,Ponce,1,2,480,,A,1,4,184,8,C,0,True,False,106.0,84.0,154.0,21.0,250.0,57.0,60.0,39.0,93.0,262.0,3.0,143.0
midi/classical/Aguado/Aguado_Ocho_Pequenas_Piezas_Op3_No1_Vals.mid,Aguado,1,2,256,,C,,,,,C,0,True,False,151.0,7.0,83.0,2.0,71.0,117.0,9.0,118.0,8.0,75.0,36.0,50.0
midi/classical/Ponce/Ponce_Suite_la_Style_Weiss_5Giga.mid,Ponce,1,2,480,,C,6,8,177,4,A,0,True,False,192.0,22.0,184.0,48.0,354.0,132.0,50.0,108.0,82.0,370.0,24.0,210.0
midi/classical/Dyens/Dyens_Lettre_Encore.mid,Dyens,1,4,480,,C,1,4,243,9,E,0,True,False,74.0,3.0,35.0,10.0,99.0,34.0,27.0,51.0,19.0,83.0,28.0,42.0
midi/classical/Aguado/Aguado_Op11_Diez_Contradanzas_No4.mid,Aguado,1,2,256,C,D,2,4,8,24,D,0,True,False,14.0,31.0,107.0,4.0,62.0,2.0,58.0,48.0,15.0,122.0,4.0,54.0
midi/classical/Aguado/Aguado_Op7_Cuatro_Valses_No4.mid,Aguado,1,2,256,,D,3,8,8,24,F#,0,True,False,9.0,50.0,70.0,6.0,72.0,0.0,58.0,72.0,24.0,121.0,0.0,34.0
midi/classical/Dyens/Dyens_Lettre_Isaac_Emilio_Autres.mid,Dyens,1,3,480,,C,3,4,26,6,G,0,True,False,21.0,12.0,142.0,34.0,25.0,55.0,19.0,223.0,20.0,2.0,23.0,44.0
midi/classical/Dyens/Dyens_Lettre_Jacques_Cartier.mid,Dyens,1,2,480,,A,2,4,110,25,A,0,True,False,2.0,44.0,47.0,8.0,71.0,8.0,25.0,1.0,26.0,74.0,2.0,50.0
midi/classical/Aguado/Aguado_Ocho_Pequenas_Piezas_Op3_No3_Vals.mid,Aguado,1,2,256,,A,3,8,8,36,C#,0,True,False,0.0,67.0,30.0,6.0,75.0,8.0,30.0,4.0,62.0,99.0,0.0,50.0
midi/classical/Dyens/Dyens_Lettre_Julia_Florida.mid,Dyens,1,2,480,,C,6,8,53,12,D,0,True,False,16.0,22.0,166.0,11.0,48.0,54.0,68.0,32.0,14.0,144.0,38.0,59.0
midi/classical/Aguado/Aguado_Ocho_Pequenas_Piezas_Op3_No4_Vals.mid,Aguado,1,2,256,,G,3,8,8,36,B,0,True,False,44.0,3.0,23.0,27.0,74.0,0.0,47.0,103.0,0.0,61.0,6.0,105.0
midi/classical/Ponce/Ponce_Theme_Variations_Fugue.mid,Ponce,1,3,1024,F,F,1,4,8,24,F,0,True,True,93.0,106.0,201.0,35.0,147.0,181.0,34.0,131.0,64.0,195.0,111.0,37.0
midi/classical/Dyens/Dyens_Lettre_Latine.mid,Dyens,1,2,480,,D,4,4,20,13,E,0,True,False,8.0,10.0,7.0,15.0,392.0,12.0,24.0,26.0,19.0,23.0,19.0,54.0
midi/classical/Dyens/Dyens_Lettre_Mi-Longue.mid,Dyens,1,2,480,,C,2,4,79,18,A,0,True,False,47.0,3.0,18.0,10.0,77.0,34.0,5.0,12.0,4.0,54.0,2.0,44.0
midi/classical/Aguado/Aguado_Ocho_Pequenas_Piezas_Op3_No6_Vals.mid,Aguado,1,2,256,,D,1,8,8,12,D,0,True,False,10.0,40.0,90.0,8.0,48.0,36.0,48.0,52.0,6.0,106.0,16.0,10.0
midi/classical/Dyens/Dyens_Lettre_Monsieur_Messiaen.mid,Dyens,1,2,480,,C,1,4,89,16,G,0.535714,True,False,19.0,14.0,26.0,17.0,52.0,23.0,34.0,40.0,14.0,22.0,21.0,44.0
midi/classical/Aguado/Aguado_Ocho_Pequenas_Piezas_Op3_No7_Minueto.mid,Aguado,1,2,256,,D#,,,,,C,0,True,False,128.0,6.0,60.0,66.0,47.0,61.0,38.0,149.0,62.0,30.0,34.0,52.0
midi/classical/Dyens/Dyens_Lettre_Noire.mid,Dyens,1,2,480,,C,1,8,36,5,G,0,True,False,24.0,20.0,18.0,6.0,97.0,9.0,19.0,52.0,29.0,24.0,13.0,47.0
midi/classical/Ponce/Ponce_Tres_canciones_mexicanas.mid,Ponce,1,5,480,,E,6,8,249,8,E,0,True,False,3.0,58.0,6.0,40.0,50.0,7.0,39.0,6.0,36.0,34.0,6.0,77.0
midi/classical/Aguado/Aguado_Ocho_Pequenas_Piezas_Op3_No8_Minueto.mid,Aguado,1,2,256,,E,3,8,8,36,B,0,True,False,22.0,24.0,16.0,42.0,82.0,2.0,68.0,40.0,36.0,64.0,14.0,94.0
midi/classical/Dyens/Dyens_Lettre_Nordestine.mid,Dyens,1,2,480,,G,4,4,53,12,C,0,True,False,120.0,0.0,36.0,6.0,68.0,15.0,57.0,125.0,12.0,47.0,107.0,37.0
midi/classical/Ponce/Ponce_Tres_canciones_mexicanas3.mid,Ponce,1,5,480,,E,6,8,163,9,B,0,True,False,11.0,51.0,20.0,82.0,94.0,18.0,69.0,7.0,57.0,74.0,9.0,105.0
midi/classical/Dyens/Dyens_Lettre_Saudade.mid,Dyens,1,3,480,,G,4,4,190,27,B,0,True,False,23.0,7.0,10.0,15.0,76.0,5.0,31.0,41.0,9.0,28.0,20.0,60.0
midi/classical/Ponce/Ponce_Valse.mid,Ponce,1,3,1024,D,A,3,4,8,24,D,0,True,True,2.0,21.0,83.0,1.0,32.0,12.0,45.0,13.0,33.0,75.0,9.0,31.0
midi/classical/Dyens/Dyens_Lettre_Seine.mid,Dyens,1,2,480,,C,4,4,231,19,C,0,True,False,85.0,0.0,22.0,2.0,74.0,24.0,0.0,92.0,3.0,29.0,0.0,56.0
midi/classical/Aguado/Aguado_Op11_Diez_Contradanzas_No2.mid,Aguado,1,2,256,A,A,2,4,8,24,E,0,True,False,0.0,44.0,56.0,11.0,100.0,0.0,38.0,22.0,27.0,108.0,0.0,47.0
midi/classical/Ponce/Ponce_Intermezzo_2Guitares.mid,Ponce,1,4,480,,G,2,4,66,15,B,0.25,True,False,79.0,22.0,69.0,61.0,183.0,0.0,115.0,158.0,9.0,100.0,19.0,216.0
